category,reviews,installs
GAME,4447388,100000000
GAME,27722264,1000000000
GAME,22426677,500000000
GAME,254258,10000000
GAME,148897,10000000
GAME,369203,50000000
GAME,5234162,100000000
GAME,23133508,100000000
GAME,8118609,500000000
GAME,10485308,500000000
GAME,1497361,100000000
GAME,59800,5000000
GAME,2610526,100000000
GAME,4066989,100000000
GAME,3778921,100000000
GAME,6198563,100000000
GAME,10306,1000000
GAME,44891723,100000000
GAME,1000417,50000000
GAME,17039,5000000
GAME,685981,100000000
GAME,10393,1000000
GAME,14198297,100000000
GAME,592068,50000000
GAME,1732263,50000000
GAME,295241,10000000
GAME,1135631,50000000
GAME,5566669,100000000
GAME,1295557,100000000
GAME,270687,10000000
GAME,2157930,10000000
GAME,506275,10000000
GAME,4920817,100000000
GAME,23005,5000000
GAME,68057,10000000
GAME,1300490,50000000
GAME,8923587,100000000
GAME,4128732,50000000
GAME,42053,10000000
GAME,257724,10000000
GAME,990491,10000000
GAME,10216538,100000000
GAME,7614130,100000000
GAME,760628,10000000
GAME,9881829,100000000
GAME,2123381,100000000
GAME,7671249,100000000
GAME,27723193,1000000000
GAME,4447346,100000000
GAME,10485334,500000000
GAME,14198602,100000000
GAME,44891723,100000000
GAME,22428456,500000000
GAME,4066980,100000000
GAME,3197865,100000000
GAME,1351068,10000000
GAME,5418675,100000000
GAME,9881908,100000000
GAME,148895,10000000
GAME,1889250,50000000
GAME,183846,10000000
GAME,230710,10000000
GAME,295305,10000000
GAME,6198880,100000000
GAME,2157930,10000000
GAME,5465624,100000000
GAME,59854,5000000
GAME,1534466,50000000
GAME,23134775,100000000
GAME,14891223,500000000
GAME,7672495,100000000
GAME,1137271,50000000
GAME,506275,10000000
GAME,2610622,100000000
GAME,990586,10000000
GAME,10354,1000000
GAME,8118937,500000000
GAME,4921122,100000000
GAME,18985,5000000
GAME,655067,10000000
GAME,7614271,100000000
GAME,10434,1000000
GAME,5234825,100000000
GAME,1385093,100000000
GAME,2698348,100000000
GAME,1125017,10000000
GAME,9882639,100000000
GAME,5566805,100000000
GAME,74673,10000000
GAME,5387639,100000000
GAME,2750410,100000000
GAME,1295606,100000000
GAME,461137,10000000
GAME,946926,50000000
GAME,9305,1000000
GAME,4448791,100000000
GAME,1498648,100000000
GAME,27724094,1000000000
GAME,22428456,500000000
GAME,1351089,10000000
GAME,360630,50000000
GAME,1137267,50000000
GAME,14200344,100000000
GAME,7672495,100000000
GAME,5234810,100000000
GAME,6074334,100000000
GAME,8118937,500000000
GAME,1000417,50000000
GAME,592282,50000000
GAME,1535084,50000000
GAME,8118880,100000000
GAME,10424925,100000000
GAME,230727,10000000
GAME,37023,10000000
GAME,422244,50000000
GAME,98123,10000000
GAME,21262,1000000
GAME,118253,10000000
GAME,141529,5000000
GAME,70226,5000000
GAME,2251012,100000000
GAME,30253,1000000
GAME,15763,1000000
GAME,84911,10000000
GAME,46416,10000000
GAME,946926,50000000
GAME,7196,500000
GAME,48256,1000000
GAME,6427773,100000000
GAME,25825,5000000
GAME,55380,5000000
GAME,148177,10000000
GAME,3715656,50000000
GAME,1841061,50000000
GAME,101686,10000000
GAME,275447,10000000
GAME,174755,10000000
GAME,4578476,50000000
GAME,145353,10000000
GAME,1499373,100000000
GAME,531458,5000000
GAME,3714270,50000000
GAME,195558,10000000
GAME,29940,1000000
GAME,230727,10000000
GAME,41975,1000000
GAME,216675,10000000
GAME,2311785,10000000
GAME,165888,5000000
GAME,541144,10000000
GAME,1107310,10000000
GAME,29168,1000000
GAME,189773,5000000
GAME,337752,5000000
GAME,102107,5000000
GAME,3093358,10000000
GAME,42079,5000000
GAME,240416,5000000
GAME,32506,1000000
GAME,70747,5000000
GAME,358817,10000000
GAME,15403,1000000
GAME,38957,1000000
GAME,214777,5000000
GAME,100609,1000000
GAME,1343866,10000000
GAME,168717,10000000
GAME,549720,10000000
GAME,18996,1000000
GAME,25094,1000000
GAME,93033,5000000
GAME,120592,10000000
GAME,187972,5000000
GAME,484981,10000000
GAME,2055,100000
GAME,73539,1000000
GAME,59017,1000000
GAME,5829,100000
GAME,18621,100000
GAME,19922,100000
GAME,21119,100000
GAME,7412,100000
GAME,18125,100000
GAME,10795,100000
GAME,13004,100000
GAME,38207,100000
GAME,9394,100000
GAME,337913,5000000
GAME,4449882,100000000
GAME,22429716,500000000
GAME,3883589,100000000
GAME,14200550,100000000
GAME,2719142,10000000
GAME,1107197,10000000
GAME,3716278,50000000
GAME,931595,10000000
GAME,165928,5000000
GAME,1480189,10000000
GAME,2468063,50000000
GAME,309176,5000000
GAME,807338,10000000
GAME,446434,10000000
GAME,214819,5000000
GAME,522466,10000000
GAME,584126,10000000
GAME,32551,500000
GAME,90218,1000000
GAME,212524,5000000
GAME,2045554,50000000
GAME,745684,5000000
GAME,416540,10000000
GAME,16601,500000
GAME,59017,1000000
GAME,3057481,50000000
GAME,224514,5000000
GAME,26247,1000000
GAME,22430188,500000000
GAME,4449910,100000000
GAME,14201891,100000000
GAME,27725352,1000000000
GAME,6199095,100000000
GAME,10493,1000000
GAME,148945,10000000
GAME,1351771,10000000
GAME,1889582,50000000
GAME,23136735,100000000
GAME,44893888,100000000
GAME,7614415,100000000
GAME,4067651,100000000
GAME,295576,10000000
GAME,59907,5000000
GAME,10460,1000000
GAME,10486018,500000000
GAME,8119151,500000000
GAME,1295625,100000000
GAME,3093932,10000000
GAME,230849,10000000
GAME,9883367,100000000
GAME,5235294,100000000
GAME,3198176,100000000
GAME,10055521,100000000
GAME,4129665,50000000
GAME,2158580,10000000
GAME,506593,10000000
GAME,5419676,100000000
GAME,990723,10000000
GAME,592504,50000000
GAME,21892,1000000
GAME,1138239,50000000
GAME,9883806,100000000
GAME,197540,10000000
GAME,74695,10000000
GAME,5566889,100000000
GAME,2698882,100000000
GAME,1535973,50000000
GAME,14892469,500000000
GAME,8923818,100000000
GAME,7674252,100000000
GAME,1125438,10000000
GAME,29445,5000000
GAME,655145,10000000
GAME,4921451,100000000
GAME,5476569,100000000
GAME,1083571,50000000
GAME,27725352,1000000000
GAME,1500999,100000000
GAME,4230886,100000000
GAME,8119154,500000000
GAME,5235294,100000000
GAME,1535973,50000000
GAME,2698889,100000000
GAME,990663,10000000
GAME,7674252,100000000
GAME,2119218,50000000
GAME,1327265,50000000
GAME,184210,10000000
GAME,1003269,50000000
GAME,1242855,50000000
GAME,401425,10000000
GAME,10979062,100000000
GAME,515657,10000000
GAME,955656,10000000
GAME,337913,5000000
GAME,1468591,50000000
GAME,725897,10000000
GAME,549039,50000000
GAME,1559650,50000000
GAME,292164,10000000
GAME,520962,10000000
GAME,1381820,10000000
GAME,525517,10000000
GAME,696,100000
GAME,194969,10000000
GAME,327599,10000000
GAME,3816799,100000000
GAME,10538,1000000
GAME,5476569,100000000
GAME,105620,1000000
GAME,37139,1000000
GAME,147791,5000000
GAME,347883,10000000
GAME,343263,10000000
GAME,216849,10000000
GAME,354373,10000000
GAME,753043,100000000
GAME,43055,5000000
GAME,80678,5000000
GAME,153381,10000000
GAME,559,100000
GAME,3073251,50000000
GAME,26649,5000000
GAME,2151039,50000000
GAME,306764,10000000
GAME,22430188,500000000
GAME,4067651,100000000
GAME,59907,5000000
GAME,1500622,100000000
GAME,14201604,100000000
GAME,280098,10000000
GAME,148990,10000000
GAME,154264,10000000
GAME,26985,5000000
GAME,1125438,10000000
GAME,5387781,100000000
GAME,8923847,100000000
GAME,1327269,50000000
GAME,23043,5000000
GAME,42145,10000000
GAME,1295625,100000000
GAME,990796,10000000
GAME,171448,10000000
GAME,2610680,100000000
GAME,1300619,50000000
GAME,2123793,100000000
GAME,21892,1000000
GAME,6074627,100000000
GAME,104303,10000000
GAME,5566908,100000000
GAME,1480182,10000000
GAME,2750645,100000000
GAME,47644,5000000
GAME,125647,10000000
GAME,4355,1000000
GAME,2119235,50000000
GAME,214878,10000000
GAME,811040,10000000
GAME,1536349,50000000
GAME,592504,50000000
GAME,17044,5000000
GAME,155186,10000000
GAME,1125566,10000000
GAME,5419676,100000000
GAME,34494,5000000
GAME,260651,10000000
GAME,4638163,100000000
GAME,4921409,100000000
GAME,1468638,50000000
GAME,344585,50000000
GAME,7614407,100000000
GAME,234110,50000000
GAME,48615,10000000
GAME,9951,1000000
GAME,213340,10000000
GAME,3815614,100000000
GAME,5565856,100000000
GAME,1728557,50000000
GAME,4257,500000
GAME,43576,5000000
GAME,27711703,1000000000
GAME,1221896,100000000
GAME,152658,1000000
GAME,1703479,100000000
GAME,10421284,100000000
GAME,8389714,100000000
GAME,685450,100000000
GAME,798522,100000000
GAME,13118,500000
GAME,413609,10000000
GAME,1117212,50000000
GAME,47698,5000000
GAME,133195,5000000
GAME,515240,10000000
GAME,29265,1000000
GAME,4918776,100000000
GAME,22191,1000000
GAME,50,10000
GAME,3039889,10000000
GAME,1305050,50000000
GAME,4487182,50000000
GAME,12,100
GAME,6071542,100000000
GAME,828489,50000000
GAME,24,1000
GAME,30,500
GAME,1397944,10000000
GAME,8921451,100000000
GAME,408292,10000000
GAME,1736105,10000000
GAME,5091448,100000000
GAME,4229977,100000000
GAME,8116142,500000000
GAME,640974,50000000
GAME,3058687,100000000
GAME,4972230,100000000
GAME,951,100000
GAME,1591129,50000000
GAME,7657490,100000000
GAME,2586261,100000000
GAME,4147718,100000000
GAME,4000433,100000000
GAME,214,50000
GAME,759838,10000000
GAME,3697174,50000000
GAME,4830407,50000000
GAME,1128805,50000000
GAME,2065,100000
GAME,12683,1000000
GAME,3656,100000
GAME,4116,100000
GAME,517,50000
GAME,1485806,100000000
GAME,6181640,100000000
GAME,19816,1000000
GAME,4108,10000
GAME,3250,1000000
GAME,0,1
GAME,178723,10000000
GAME,2454,500000
GAME,5231553,100000000
GAME,403911,10000000
GAME,249308,10000000
GAME,3777822,100000000
GAME,421000,10000000
GAME,989158,10000000
GAME,307398,10000000
GAME,4637439,100000000
GAME,547644,50000000
GAME,6,500
GAME,28,1000
GAME,609,10000
GAME,1017408,10000000
GAME,2351,100000
GAME,4304,100000
GAME,703,10000
GAME,2694969,100000000
GAME,696019,50000000
GAME,2308916,10000000
GAME,1185148,100000000
GAME,90415,10000000
GAME,596,100000
GAME,1202,100000
GAME,303,100000
GAME,901,50000
GAME,234606,10000000
GAME,156862,5000000
GAME,63680,1000000
GAME,4719,500000
GAME,166033,10000000
GAME,133180,1000000
GAME,413,1000
GAME,37789,1000000
GAME,466,10000
GAME,30630,1000000
GAME,29505,1000000
GAME,169,1000
GAME,6187,100000
GAME,80,10000
GAME,155,1000
GAME,168,5000
GAME,1475,10000
GAME,4,100
GAME,140,50000
GAME,428268,10000000
GAME,1486,100000
GAME,13788,1000000
GAME,26893,1000000
GAME,21107,100000
GAME,5682,50000
GAME,7687,100000
GAME,464900,10000000
GAME,5785,500000
GAME,69115,10000000
GAME,17988,100000
GAME,1468,10000
GAME,131,1000
GAME,4575,500000
GAME,109263,1000000
GAME,16876,1000000
GAME,2113,100000
GAME,6121,500000
GAME,2399,100000
GAME,2460,50000
GAME,1744,100000
GAME,1704112,50000000
GAME,1092106,50000000
GAME,10806,5000000
GAME,30515,1000000
GAME,4878,100000
GAME,24210,500000
GAME,12736,1000000
GAME,3432,1000000
GAME,10748,1000000
GAME,285814,10000000
GAME,74842,5000000
GAME,45871,5000000
GAME,229329,10000000
GAME,96028,1000000
GAME,121612,1000000
GAME,1987,100000
GAME,650114,10000000
GAME,41444,1000000
GAME,145,10000
GAME,1655,100000
GAME,11258,500000
GAME,11408,1000000
GAME,306,10000
GAME,94661,1000000
GAME,13604,1000000
GAME,24697,500000
GAME,8537,100000
GAME,180,5000
GAME,2610328,100000000
GAME,829753,50000000
GAME,3846378,50000000
GAME,1218055,100000000
GAME,42529,500000
GAME,100,1000
GAME,37302,500000
GAME,652,10000
GAME,61746,500000
GAME,960,50000
GAME,17263,500000
GAME,30002,1000000
GAME,41759,1000000
GAME,4569,100000
GAME,18277,1000000
GAME,721,50000
GAME,1776,50000
GAME,1417,100000
GAME,8581,1000000
GAME,74902,5000000
GAME,6988,100000
GAME,2588,100000
GAME,358,10000
GAME,804,10000
GAME,533,10000
GAME,17876,1000000
GAME,14,1000
GAME,94761,10000000
GAME,164,10000
GAME,13,1000
GAME,1088,100000
GAME,256,50000
GAME,2975,50000
GAME,9,500
GAME,8,1000
GAME,21,1000
GAME,807226,10000000
GAME,91,10000
GAME,1,500
GAME,145931,10000000
GAME,1343106,10000000
GAME,4,1000
GAME,243121,5000000
GAME,82827,10000000
GAME,208501,1000000
GAME,630,10000
GAME,4537,100000
GAME,5849,500000
GAME,10256,1000000
GAME,210317,10000000
GAME,406511,5000000
GAME,104389,5000000
GAME,21223,1000000
GAME,438911,10000000
GAME,8219586,100000000
GAME,579519,10000000
GAME,62636,1000000
GAME,250197,5000000
GAME,336386,10000000
GAME,1381624,10000000
GAME,4704,100000
GAME,57,1000
GAME,161637,10000000
GAME,137696,5000000
GAME,898,100000
GAME,22435,1000000
GAME,391325,10000000
GAME,862,100000
GAME,17,1000
GAME,1226514,10000000
GAME,19070,100000
GAME,1363,100000
GAME,20,1000
GAME,469,10000
GAME,153,10000
GAME,125652,10000000
GAME,11379,500000
GAME,51787,5000000
GAME,531074,10000000
GAME,407788,5000000
GAME,889425,10000000
GAME,1041836,10000000
GAME,47151,5000000
GAME,344819,5000000
GAME,100805,1000000
GAME,23168,1000000
GAME,2628,100000
GAME,2717,100000
GAME,7728,500000
GAME,2180,100000
GAME,59223,5000000
GAME,16162,100000
GAME,596,100000
GAME,1976,100000
GAME,6698,500000
GAME,21266,100000
GAME,4041,10000
GAME,2691,100000
GAME,27856,100000
GAME,85278,1000000
GAME,16521,1000000
GAME,91667,1000000
GAME,2433,100000
GAME,24312,500000
GAME,29462,1000000
GAME,159063,1000000
GAME,955614,10000000
GAME,7718,100000
GAME,29062,1000000
GAME,35572,1000000
GAME,492,100000
GAME,1604146,10000000
GAME,3845,500000
GAME,141,10000
GAME,1,100
GAME,21,5000
GAME,924,100000
GAME,29,1000
GAME,8,50
GAME,52,5000
GAME,15806,1000000
GAME,440,50000
GAME,69,50000
GAME,1,50
GAME,53,1000
GAME,71,10000
GAME,6344,500000
GAME,6,1000
GAME,7,100
GAME,0,50
GAME,82,5000
GAME,489,10000
GAME,0,1
GAME,0,5
GAME,162530,10000000
GAME,254518,10000000
GAME,88901,10000000
GAME,29270,5000000
GAME,162,10000
GAME,2,1
GAME,196,10000
GAME,3452530,100000000
GAME,169661,10000000
GAME,209,10000
GAME,4396,100000
GAME,1535581,50000000
GAME,128367,1000000
GAME,275843,10000000
GAME,263907,10000000
GAME,32,1000
GAME,1849,10000
GAME,634159,10000000
GAME,3322,100000
GAME,7699,500000
GAME,29798,1000000
GAME,63056,1000000
GAME,31883,1000000
GAME,101762,1000000
GAME,10440,50000
GAME,142693,5000000
GAME,1644,10000
GAME,205830,10000000
GAME,128579,5000000
GAME,389,10000
GAME,3,10
GAME,0,1
GAME,12,50
GAME,212067,10000000
GAME,155694,1000000
GAME,501,10000
GAME,17,500
GAME,20,10000
GAME,11,5000
GAME,1,1000
GAME,1,100
GAME,325,10000
GAME,341,50000
GAME,0,500
GAME,3,500
GAME,524467,10000000
GAME,17,100
GAME,52199,1000000
GAME,2066,100000
GAME,26744,500000
GAME,1686,100000
GAME,415,10000
GAME,125,5000
GAME,1563,50000
GAME,355,10000
GAME,267,10000
GAME,21,100
GAME,3,10
GAME,496,100000
GAME,59,500
GAME,514,5000
GAME,144,1000
GAME,33661,100000
GAME,46801,1000000
GAME,1432447,50000000
GAME,1167143,100000000
GAME,1,100
GAME,488,100000
GAME,125578,5000000
GAME,164,10000
GAME,14283,1000000
GAME,38297,10000000
GAME,776730,10000000
GAME,152,10000
GAME,1243017,50000000
GAME,191,5000
GAME,20691,1000000
GAME,1418,10000
GAME,7,5
GAME,1167,100000
GAME,8175,1000000
GAME,45,10000
GAME,48,10000
GAME,947515,10000000
GAME,13304,1000000
GAME,3,100
GAME,0,100
GAME,10,1000
GAME,294,10000
GAME,1,10
GAME,0,50
GAME,4,100
GAME,2,50
GAME,31,1000
GAME,0,10
GAME,1004709,50000000
GAME,14,1000
GAME,45558,5000000
GAME,265,1000
GAME,547,10000
GAME,705,10000
GAME,70,1000
GAME,64,5000
GAME,1,10
GAME,12,1000
GAME,3,100
GAME,38448,5000000
GAME,85882,10000000
GAME,51067,5000000
GAME,41,5000
GAME,107497,1000000
GAME,299,10000
GAME,25952,500000
GAME,51791,1000000
GAME,142308,5000000
GAME,54221,1000000
GAME,267229,10000000
GAME,183343,5000000
GAME,62561,1000000
GAME,12,1000
GAME,15,50
GAME,20,100
GAME,14,100
GAME,0,50
GAME,201426,5000000
GAME,26138,1000000
GAME,51523,500000
GAME,1692,10000
GAME,4923,100000
GAME,144040,5000000
GAME,1432809,10000000
GAME,51366,5000000
GAME,35,10000
GAME,52390,5000000
GAME,11,10
GAME,29330,1000000
GAME,29990,1000000
GAME,348962,1000000
GAME,1995,500000
GAME,923,100000
GAME,154519,10000000
GAME,207,50000
GAME,350,50000
GAME,364,50000
GAME,401643,10000000
GAME,9898,1000000
GAME,3371,100000
GAME,17372,1000000
GAME,7885,500000
GAME,8,100
GAME,8,10
GAME,206602,5000000
GAME,219821,1000000
GAME,3,10
GAME,144545,5000000
GAME,349503,10000000
GAME,37513,5000000
GAME,40847,1000000
GAME,6386,500000
GAME,24628,1000000
GAME,39698,5000000
GAME,121533,10000000
GAME,108336,1000000
GAME,4107,50000
GAME,3904,10000
GAME,14563,1000000
GAME,9,1000
GAME,8038,100000
GAME,963,50000
GAME,6947,500000
GAME,248417,5000000
GAME,23,1000
GAME,33,1000
GAME,132282,1000000
GAME,5,100
GAME,4,10
GAME,783,100000
GAME,3247,500000
GAME,119368,10000000
GAME,4552,100000
GAME,293086,5000000
GAME,8778,100000
GAME,22773,1000000
GAME,52163,1000000
GAME,299046,10000000
GAME,41089,5000000
GAME,1019,100000
GAME,2526,100000
GAME,2328,100000
GAME,655,50000
GAME,4946,100000
GAME,1015,100000
GAME,211,10000
GAME,14823,1000000
GAME,8668,500000
GAME,112565,1000000
GAME,278,10000
GAME,211,50000
GAME,460,50000
GAME,247,10000
GAME,19,100
GAME,8191,100000
GAME,115176,10000000
GAME,10981850,100000000
GAME,121082,10000000
GAME,165656,5000000
GAME,4,500
GAME,387,50000
GAME,16851,100000
GAME,541732,5000000
GAME,47340,1000000
GAME,6200,500000
GAME,528550,10000000
GAME,260527,10000000
GAME,153649,10000000
GAME,2464,50000
GAME,276105,10000000
GAME,462614,10000000
GAME,39895,5000000
GAME,794058,10000000
GAME,338742,5000000
GAME,33,1000
GAME,504765,5000000
GAME,2440877,10000000
GAME,937,10000
GAME,22333,1000000
GAME,33,1000
GAME,2468915,50000000
GAME,304106,10000000
GAME,11,500
GAME,264755,10000000
GAME,47386,1000000
GAME,32849,1000000
GAME,785622,50000000
GAME,234589,50000000
GAME,951435,50000000
GAME,257531,10000000
GAME,375996,10000000
GAME,152102,10000000
GAME,1,100
GAME,59,1000
GAME,10786,1000000
GAME,562345,10000000
GAME,3941129,50000000
GAME,314774,5000000
GAME,1878,100000
GAME,326042,10000000
GAME,331692,10000000
GAME,151,10000
GAME,38767,5000000
GAME,152395,10000000
GAME,396090,10000000
GAME,466495,10000000
GAME,41683,1000000
GAME,6026,100000
GAME,55952,1000000
GAME,771001,50000000
GAME,617732,10000000
GAME,371318,10000000
GAME,1628,50000
GAME,66,10000
GAME,450,10000
GAME,0,10
GAME,13079,500000
GAME,2032,50000
GAME,267395,5000000
GAME,154108,5000000
GAME,271214,10000000
GAME,1290,100000
GAME,401648,10000000
GAME,8193,500000
GAME,1115,100000
GAME,8432,500000
GAME,2362,100000
GAME,139432,10000000
GAME,58575,1000000
GAME,475369,50000000
GAME,358633,10000000
GAME,14253,1000000
GAME,15829,1000000
GAME,42182,1000000
GAME,2700,500000
GAME,85317,5000000
GAME,97209,1000000
GAME,146,10000
GAME,18,100
GAME,183,10000
GAME,19291,1000000
GAME,87766,1000000
GAME,14002,1000000
GAME,22896,1000000
GAME,107778,10000000
GAME,2218,500000
GAME,1576,50000
GAME,0,50000
GAME,768,100000
GAME,21423,1000000
GAME,4328,100000
GAME,137338,5000000
GAME,499,10000
GAME,23599,100000
GAME,3816,100000
GAME,416,10000
GAME,4,100
GAME,4,50
GAME,395,50000
GAME,120852,10000000
GAME,6,100
GAME,24,1000
GAME,17,500
GAME,3344300,50000000
GAME,32344,1000000
GAME,166251,5000000
GAME,70389,1000000
GAME,172281,5000000
GAME,567984,10000000
GAME,32496,1000000
GAME,2903386,100000000
GAME,4490,100000
GAME,1995,100000
GAME,38419,1000000
GAME,140658,1000000
GAME,5341,100000
GAME,5,10
GAME,4,100
GAME,505,10000
GAME,56,1000
GAME,3946,100000
GAME,17453,1000000
GAME,30008,1000000
GAME,185382,10000000
GAME,601,100000
GAME,13388,500000
GAME,1294,50000
GAME,16073,500000
GAME,63986,1000000
GAME,32522,1000000
GAME,157264,10000000
GAME,76627,5000000
GAME,5290,500000
GAME,1094,500000
GAME,326689,10000000
GAME,661,100000
GAME,49,5000
GAME,9051,1000000
GAME,127810,10000000
GAME,104583,1000000
GAME,5339,1000000
GAME,6735,1000000
GAME,23104,1000000
GAME,8482,1000000
GAME,555,100000
GAME,13714,1000000
GAME,240,50000
GAME,16237,500000
GAME,48,1000
GAME,30,5000
GAME,3048,500000
GAME,101,10000
GAME,697805,50000000
GAME,192374,10000000
GAME,1914,100000
GAME,526595,10000000
GAME,2536,100000
GAME,18652,100000
GAME,93608,10000000
GAME,7904,500000
GAME,1123190,10000000
GAME,1218,500000
GAME,2102,100000
GAME,7972,500000
GAME,4416,500000
GAME,3543,1000000
GAME,190274,5000000
GAME,12846,1000000
GAME,21,5000
GAME,6143,100000
GAME,32831,500000
GAME,197979,1000000
GAME,2208,500000
GAME,1986068,50000000
GAME,71468,1000000
GAME,910051,10000000
GAME,114479,5000000
GAME,1489,100000
GAME,8608,500000
GAME,14989,500000
GAME,127831,10000000
GAME,382100,10000000
GAME,291941,10000000
GAME,187200,10000000
GAME,246538,5000000
GAME,177542,10000000
GAME,711719,10000000
GAME,135739,5000000
GAME,1375988,50000000
GAME,2178,500000
GAME,5449,500000
GAME,5731,1000000
GAME,11023,100000
GAME,3017,500000
GAME,454,10000
GAME,5291,100000
GAME,79,1000
GAME,7,100
GAME,8014,100000
GAME,49971,5000000
GAME,7,50
GAME,13,500
GAME,66894,1000000
GAME,11,100
GAME,214923,5000000
GAME,2233,1000000
GAME,5,10
GAME,27557,5000000
GAME,83891,10000000
GAME,568391,5000000
GAME,15,100
GAME,70351,5000000
GAME,40,5000
GAME,499483,10000000
GAME,58387,1000000
GAME,54082,10000000
GAME,3344,500000
GAME,33,5000
GAME,201537,5000000
GAME,11051,1000000
GAME,264282,10000000
GAME,2,100
GAME,5534114,100000000
GAME,2,10
GAME,8649,1000000
GAME,43645,5000000
GAME,83671,10000000
GAME,164,10000
GAME,85410,10000000
GAME,839206,50000000
GAME,20364,5000000
GAME,71476,1000000
GAME,995002,10000000
GAME,3878,500000
GAME,12257,1000000
GAME,8122,500000
GAME,320334,50000000
GAME,28151,1000000
GAME,1063,50000
GAME,2027,100000
GAME,2431,100000
GAME,2917,100000
GAME,32,1000
GAME,2071,100000
GAME,452589,10000000
GAME,2183,500000
GAME,35171,1000000
GAME,182,50000
GAME,16282,1000000
GAME,103199,10000000
GAME,33788,1000000
GAME,2,10
GAME,301895,50000000
GAME,25275,5000000
GAME,1351833,10000000
GAME,88941,1000000
GAME,16815,1000000
GAME,11235,100000
GAME,85468,1000000
GAME,55014,1000000
GAME,1012,10000
GAME,2,1
GAME,5,50
GAME,7279,1000000
GAME,9183,1000000
GAME,14,100
GAME,196,5000
GAME,38,1000
GAME,795,100000
GAME,1,10
GAME,404,100000
GAME,834117,10000000
GAME,252,10000
GAME,340,50000
GAME,245455,10000000
GAME,297,50000
GAME,368,50000
GAME,1287,50000
GAME,21661,1000000
GAME,28510,500000
GAME,56496,1000000
GAME,5442,100000
